venue_id,venue_name,team,lat,lon,ballpark_elevation_m,elevation_source,weather_station_id,station_elevation_m,station_source,roof_type,home_plate_bearing_deg,orientation_confidence,orientation_status,orientation_source,orientation_notes
,Chase Field,Arizona Diamondbacks,33.4454856,-112.0666928,346.0,US_SPORTS_VENUES_MASTER_CORRECTED_V2.xlsx | ALL_VENUES | feet converted to metres,KPHX,346,INITIAL_NEARBY_ASOS_MAPPING | requires direct operational validation | B maximum,RETRACTABLE,84.47,1.0,ok,stadium,raw_angle=84.47; distance_m=13.7; aspect_ratio=1.49; score=5.494; tags_sport=baseball; status=ok
,Truist Park,Atlanta Braves,33.890738,-84.4676163,309.0,US_SPORTS_VENUES_MASTER_CORRECTED_V2.xlsx | ALL_VENUES | feet converted to metres,KFTY,309,INITIAL_NEARBY_ASOS_MAPPING | requires direct operational validation | B maximum,OUTDOOR,113.23,1.0,ok,pitch,raw_angle=113.23; distance_m=13.6; aspect_ratio=1.22; score=6.222; tags_sport=baseball; status=ok
,Oriole Park at Camden Yards,Baltimore Orioles,39.2837383,-76.6216056,14.999,US_SPORTS_VENUES_MASTER_CORRECTED_V2.xlsx | ALL_VENUES | feet converted to metres,KBWI,45,INITIAL_NEARBY_ASOS_MAPPING | requires direct operational validation | B maximum,OUTDOOR,5.14,0.95,corrected,ground_truth_manual,CORRECTED: 180° flip; HP→CF ~5.14° N/NNE; verified shadedseats/Wikipedia/Fangraphs
,Fenway Park,Boston Red Sox,42.3464614,-71.0970999,13.999,US_SPORTS_VENUES_MASTER_CORRECTED_V2.xlsx | ALL_VENUES | feet converted to metres,KBOS,6,INITIAL_NEARBY_ASOS_MAPPING | requires direct operational validation | B maximum,OUTDOOR,68.19,1.0,ok,pitch,raw_angle=68.19; distance_m=18.4; aspect_ratio=1.63; score=6.631; tags_sport=baseball; status=ok
,Wrigley Field,Chicago Cubs,41.9481846,-87.655559,185.001,US_SPORTS_VENUES_MASTER_CORRECTED_V2.xlsx | ALL_VENUES | feet converted to metres,KORD,204,INITIAL_NEARBY_ASOS_MAPPING | requires direct operational validation | B maximum,OUTDOOR,45.0,0.9,manual,ground_truth_manual,"GROUND TRUTH PASS: shadedseats.com: ""Wrigley Field is oriented to the northeast""; corrects prior review 93.81° from pickleball polygon | prior_status=review, prior_deg=93.81"
,Guaranteed Rate Field,Chicago White Sox,41.83,-87.6339,181.999,US_SPORTS_VENUES_MASTER_CORRECTED_V2.xlsx | ALL_VENUES | feet converted to metres,KMDW,189,INITIAL_NEARBY_ASOS_MAPPING | requires direct operational validation | B maximum,OUTDOOR,116.95,1.0,ok,stadium,raw_angle=116.95; distance_m=23.1; aspect_ratio=1.37; score=5.369; tags_sport=baseball; status=ok
,Great American Ball Park,Cincinnati Reds,39.0972484,-84.5066233,161.001,US_SPORTS_VENUES_MASTER_CORRECTED_V2.xlsx | ALL_VENUES | feet converted to metres,KLUK,147,INITIAL_NEARBY_ASOS_MAPPING | requires direct operational validation | B maximum,OUTDOOR,134.1,1.0,ok,pitch,raw_angle=134.10; distance_m=15.2; aspect_ratio=1.41; score=6.412; tags_sport=baseball; status=ok
,Progressive Field,Cleveland Guardians,41.4960906,-81.6851319,212.001,US_SPORTS_VENUES_MASTER_CORRECTED_V2.xlsx | ALL_VENUES | feet converted to metres,KCLE,241,INITIAL_NEARBY_ASOS_MAPPING | requires direct operational validation | B maximum,OUTDOOR,356.33,0.95,corrected,ground_truth_manual,CORRECTED: 180° flip; HP→CF ~356.33° N; verified
,Coors Field,Colorado Rockies,39.7560314,-104.9929286,1597.999,US_SPORTS_VENUES_MASTER_CORRECTED_V2.xlsx | ALL_VENUES | feet converted to metres,KDEN,1655,INITIAL_NEARBY_ASOS_MAPPING | requires direct operational validation | B maximum,OUTDOOR,103.38,1.0,ok,pitch,raw_angle=103.38; distance_m=107.2; aspect_ratio=1.36; score=5.910; tags_sport=baseball; status=ok
,Comerica Park,Detroit Tigers,42.3392219,-83.0488632,188.001,US_SPORTS_VENUES_MASTER_CORRECTED_V2.xlsx | ALL_VENUES | feet converted to metres,KDTW,197,INITIAL_NEARBY_ASOS_MAPPING | requires direct operational validation | B maximum,OUTDOOR,107.39,1.0,ok,pitch,raw_angle=107.39; distance_m=41.6; aspect_ratio=3.27; score=8.271; tags_sport=baseball; status=ok
